EXP,Year,Loc,Range,Row,Plot,REP,Nitro,Weed,HYB,Code,STC,PDT,HDT,FDT,FDS,RTA,SDI,PHT,EHT,GWT,MST,TWT,YIELD
REPLICATED TRIAL,2018,Pana,5,25,12209,1,N3,WPLUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.886666667,1.7625,97.5225,93.08333333,254,118,7.72013584,15.3,56.5,150.9759648
REPLICATED TRIAL,2018,Pana,5,29,12205,1,N3,WPLUS,PHHB9*Q381,UIUC5,25,5/25/2018,10/15/2018,1.876666667,1.741666667,99.65166667,100.5833333,242,90,7.69745624,14.7,60.5,141.575725
REPLICATED TRIAL,2018,Pana,5,33,12201,1,N3,WPLUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.876666667,1.719166667,101.1883333,115.5,253,140,10.08788608,20.4,61,171.7241246
REPLICATED TRIAL,2018,Pana,5,37,12202,1,N3,WPLUS,PHHB9*PHR63,UIUC2,30,5/25/2018,10/15/2018,1.806666667,1.736666667,98.62,118.5833333,250,100,9.59800672,16.2,58.8,178.4414121
REPLICATED TRIAL,2018,Pana,5,41,12204,1,N3,WPLUS,PHHB9*PHZ51,UIUC4,26,5/25/2018,10/15/2018,1.813333333,1.716666667,81.70166667,137.1666667,270,132,10.0470628,15.2,58.2,190.9676895
REPLICATED TRIAL,2018,Pana,6,5,11210,1,N3,WMINUS,17.461,ORG1,28,5/25/2018,10/15/2018,1.893333333,1.754166667,71.22583333,105.3333333,245,128,9.3213156,14.9,58,178.413079
REPLICATED TRIAL,2018,Pana,6,9,11203,1,N3,WMINUS,PHHB9*PHW30,UIUC3,29,5/25/2018,10/15/2018,1.886666667,1.705833333,95.80833333,128.9166667,290,122,10.76827408,16,61.8,190.9346814
REPLICATED TRIAL,2018,Pana,6,13,11206,1,N3,WMINUS,PHP38*Q381,UIUC6,24,5/25/2018,10/15/2018,1.86,1.705,88.30333333,121.25,255,117,8.71803824,15.5,54.6,176.007326
REPLICATED TRIAL,2018,Pana,6,17,11208,1,N3,WMINUS,PHW52*Q381,UIUC8,24,5/25/2018,10/15/2018,1.893333333,1.7425,64.4825,118,230,90,7.59313008,14.7,60.3,140.1201095
REPLICATED TRIAL,2018,Pana,6,21,11207,1,N3,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.843333333,1.726666667,79.71916667,111.6666667,262,113,10.97239048,14.8,58.2,209.5394376
REPLICATED TRIAL,2018,Pana,6,25,11209,1,N3,WMINUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.88,1.73,73.05916667,116.1666667,255,132,8.26444624,14.6,56.4,163.2452054
REPLICATED TRIAL,2018,Pana,6,29,11205,1,N3,WMINUS,PHHB9*Q381,UIUC5,23,5/25/2018,10/15/2018,1.87,1.745833333,74.44833333,105.5833333,250,90,7.76095912,14.9,61.6,139.8659994
REPLICATED TRIAL,2018,Pana,6,33,11201,1,N3,WMINUS,PHHB9*PHM49,UIUC1,29,5/25/2018,10/15/2018,1.92,1.745,87.9575,98.75,252,110,9.19884576,17.4,59.2,167.4324324
REPLICATED TRIAL,2018,Pana,6,37,11202,1,N3,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,1.825,1.6425,91.30375,141,235,105,10.23303552,17.7,60.5,181.5920583
REPLICATED TRIAL,2018,Pana,6,41,11204,1,N3,WMINUS,PHHB9*PHZ51,UIUC4,19,5/25/2018,10/15/2018,1.753333333,1.710833333,112.4108333,149.6666667,252,127,7.87889304,14.8,59.9,146.192767
REPLICATED TRIAL,2018,Pana,7,5,22102,2,N2,WPLUS,PHHB9*PHR63,UIUC2,25,5/25/2018,10/15/2018,1.893333333,1.736666667,94.12583333,111.1666667,220,90,9.71594064,17.1,62.1,169.198182
REPLICATED TRIAL,2018,Pana,7,9,22108,2,N2,WPLUS,PHW52*Q381,UIUC8,25,5/25/2018,10/15/2018,1.886666667,1.806666667,57.67388889,125.3333333,242,95,8.31887728,15.8,58.7,155.6634376
REPLICATED TRIAL,2018,Pana,7,13,22105,2,N2,WPLUS,PHHB9*Q381,UIUC5,26,5/25/2018,10/15/2018,1.913333333,1.741666667,73.51166667,106.9166667,253,95,9.20338168,15.5,61.2,165.7679739
REPLICATED TRIAL,2018,Pana,7,17,22107,2,N2,WPLUS,PHW52*LH185,UIUC7,28,5/25/2018,10/15/2018,1.913333333,1.720833333,70.83416667,102.75,242,100,10.3645772,14.7,58.2,198.1643588
REPLICATED TRIAL,2018,Pana,7,21,22101,2,N2,WPLUS,PHHB9*PHM49,UIUC1,23,5/25/2018,10/15/2018,1.88,1.734166667,77.01583333,121.3333333,250,110,10.5686936,17.9,61.7,183.4540101
REPLICATED TRIAL,2018,Pana,7,25,22109,2,N2,WPLUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,1.846666667,1.7325,85.72,117.4166667,240,142,6.577084,16.3,55.9,128.4679955
REPLICATED TRIAL,2018,Pana,7,29,22106,2,N2,WPLUS,PHP38*Q381,UIUC6,31,5/25/2018,10/15/2018,1.866666667,1.774166667,76.6125,106.4166667,230,87,8.08754536,15,59.3,151.2268378
REPLICATED TRIAL,2018,Pana,7,33,22103,2,N2,WPLUS,PHHB9*PHW30,UIUC3,28,5/25/2018,10/15/2018,1.863333333,1.715833333,88.63916667,128.0833333,260,92,9.67965328,16.6,61.5,171.237408
REPLICATED TRIAL,2018,Pana,11,17,22304,2,N1,WPLUS,PHHB9*PHZ51,UIUC4,29,5/25/2018,10/15/2018,1.883333333,1.723333333,78.33583333,109.1666667,252,100,7.75188728,14.8,57.6,149.5796351
REPLICATED TRIAL,2018,Pana,7,41,22110,2,N2,WPLUS,17.461,ORG1,32,5/25/2018,10/15/2018,1.923333333,1.778333333,64.69833333,91.41666667,257,148,8.1419764,14.9,55.1,164.042247
REPLICATED TRIAL,2018,Pana,8,5,21102,2,N2,WMINUS,PHHB9*PHR63,UIUC2,25,5/25/2018,10/15/2018,1.933333333,1.745,62.025,145.5,240,110,9.28049232,16.5,61.1,165.4490166
REPLICATED TRIAL,2018,Pana,8,9,21108,2,N2,WMINUS,PHW52*Q381,UIUC8,17,5/25/2018,10/15/2018,1.843333333,1.735,76.24333333,100.0833333,220,85,5.6699,18.7,59.2,101.5762434
REPLICATED TRIAL,2018,Pana,8,13,21105,2,N2,WMINUS,PHHB9*Q381,UIUC5,27,5/25/2018,10/15/2018,1.926666667,1.775,67.93333333,97.5,240,115,9.3213156,15.3,60,171.6553254
REPLICATED TRIAL,2018,Pana,8,17,21107,2,N2,WMINUS,PHW52*LH185,UIUC7,29,5/25/2018,10/15/2018,1.883333333,1.7375,79.65333333,100.4166667,250,105,10.85899248,15.9,57.2,208.2751272
REPLICATED TRIAL,2018,Pana,8,21,21101,2,N2,WMINUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.88,1.720833333,77.89,119.8333333,250,110,10.04252688,16.7,61.5,177.443787
REPLICATED TRIAL,2018,Pana,8,25,21109,2,N2,WMINUS,461.2B24,ORG2,30,5/25/2018,10/15/2018,1.846666667,1.740833333,76.45166667,114.75,256,113,8.12383272,18.7,54.9,156.9376273
REPLICATED TRIAL,2018,Pana,8,29,21106,2,N2,WMINUS,PHP38*Q381,UIUC6,23,5/25/2018,10/15/2018,1.893333333,1.745833333,62.56083333,94.91666667,247,94,7.93786,16.1,61.3,141.727077
REPLICATED TRIAL,2018,Pana,8,33,21103,2,N2,WMINUS,PHHB9*PHW30,UIUC3,30,5/25/2018,10/15/2018,1.875,1.705,88.5225,113.875,265,115,9.2305972,16.3,58.8,171.4059292
REPLICATED TRIAL,2018,Pana,12,17,21304,2,N1,WMINUS,PHHB9*PHZ51,UIUC4,29,5/25/2018,10/15/2018,1.893333333,1.724166667,81.97583333,96.08333333,250,104,7.15314584,15,58.3,136.0490018
REPLICATED TRIAL,2018,Pana,8,41,21110,2,N2,WMINUS,17.461,ORG1,32,5/25/2018,10/15/2018,1.92,1.755,67.56,96.25,250,150,9.46192912,15.7,55.1,188.8441671
REPLICATED TRIAL,2018,Pana,9,5,22210,2,N3,WPLUS,17.461,ORG1,25,5/25/2018,10/15/2018,1.916666667,1.743333333,67.93916667,105.6666667,247,132,9.11266328,14.7,58.2,174.2285325
REPLICATED TRIAL,2018,Pana,9,9,22201,2,N3,WPLUS,PHHB9*PHM49,UIUC1,29,5/25/2018,10/15/2018,1.87,1.730833333,103.1416667,117.5,248,100,10.46436744,18.1,62,180.3238213
REPLICATED TRIAL,2018,Pana,9,13,22206,2,N3,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.91,1.735,66.40083333,132.1666667,240,104,8.54113736,15,59.8,158.3730779
REPLICATED TRIAL,2018,Pana,9,17,22205,2,N3,WPLUS,PHHB9*Q381,UIUC5,26,5/25/2018,10/15/2018,1.876666667,1.7425,83.23666667,163,245,115,8.958442,15.5,58.2,169.6735395
REPLICATED TRIAL,2018,Pana,9,21,22207,2,N3,WPLUS,PHW52*LH185,UIUC7,30,5/25/2018,10/15/2018,1.886666667,1.7425,82.50416667,97.25,242,100,10.37818496,15.5,57.7,198.2668977
REPLICATED TRIAL,2018,Pana,9,25,22202,2,N3,WPLUS,PHHB9*PHR63,UIUC2,25,5/25/2018,10/15/2018,1.903333333,1.766666667,69.095,117.4166667,247,128,8.45495488,16,59.7,155.1901519
REPLICATED TRIAL,2018,Pana,9,29,22203,2,N3,WPLUS,PHHB9*PHW30,UIUC3,23,5/25/2018,10/15/2018,1.926666667,1.756666667,76.445,91,248,114,9.26234864,16.1,61.5,164.8374465
REPLICATED TRIAL,2018,Pana,7,37,22104,2,N2,WPLUS,PHHB9*PHZ51,UIUC4,24,5/25/2018,10/15/2018,1.833333333,1.716666667,113.9791667,138.1666667,255,95,8.4594908,15.2,59.1,158.3435958
REPLICATED TRIAL,2018,Pana,9,37,22208,2,N3,WPLUS,PHW52*Q381,UIUC8,24,5/25/2018,10/15/2018,1.886666667,1.746666667,66.50333333,113.0833333,220,92,5.30249048,15.1,58.4,100.5593945
REPLICATED TRIAL,2018,Pana,9,41,22209,2,N3,WPLUS,461.2B24,ORG2,31,5/25/2018,10/15/2018,1.925,1.76,77.46625,130.25,238,120,7.58405824,17.3,53.7,152.363448
REPLICATED TRIAL,2018,Pana,10,5,21210,2,N3,WMINUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.883333333,1.721666667,67.77833333,109.6666667,255,145,8.87679544,15,56.5,174.210609
REPLICATED TRIAL,2018,Pana,10,9,21201,2,N3,WMINUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.91,1.738333333,68.9125,112.3333333,255,115,9.38481848,17,60.6,167.6792235
REPLICATED TRIAL,2018,Pana,10,13,21206,2,N3,WMINUS,PHP38*Q381,UIUC6,26,5/25/2018,10/15/2018,1.89,1.739166667,84.7125,100.1666667,240,111,9.49821648,16.3,60.8,170.5736141
REPLICATED TRIAL,2018,Pana,10,17,21205,2,N3,WMINUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,1.833333333,1.781666667,70.54833333,127.8333333,240,112,8.3687724,15.1,58.3,158.9823094
REPLICATED TRIAL,2018,Pana,10,21,21207,2,N3,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.87,1.675833333,80.33833333,114.0833333,240,103,9.2079176,15.5,58.6,173.2081911
REPLICATED TRIAL,2018,Pana,10,25,21202,2,N3,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,1.903333333,1.77,64.70583333,104.75,250,130,9.48914464,15.8,59.3,175.76499
REPLICATED TRIAL,2018,Pana,10,29,21203,2,N3,WMINUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.873333333,1.75,84.62833333,115,256,105,9.40749808,17.1,59.9,169.8438225
REPLICATED TRIAL,2018,Pana,8,37,21104,2,N2,WMINUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.853333333,1.7275,95.41916667,107.0833333,257,138,8.92215464,15,59.2,167.1147849
REPLICATED TRIAL,2018,Pana,10,37,21208,2,N3,WMINUS,PHW52*Q381,UIUC8,30,5/25/2018,10/15/2018,1.876666667,1.736666667,86.12666667,89.33333333,222,94,7.6430252,14.5,58.5,145.7214383
REPLICATED TRIAL,2018,Pana,10,41,21209,2,N3,WMINUS,461.2B24,ORG2,28,5/25/2018,10/15/2018,NA,NA,NA,NA,232,105,7.51601944,15.8,55.1,149.8291434
REPLICATED TRIAL,2018,Pana,11,5,22305,2,N1,WPLUS,PHHB9*Q381,UIUC5,19,5/25/2018,10/15/2018,1.903333333,1.769166667,55.96416667,91.91666667,218,88,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,11,9,22307,2,N1,WPLUS,PHW52*LH185,UIUC7,29,5/25/2018,10/15/2018,1.896666667,1.715833333,80.22,94.5,235,107,9.2305972,15.2,56.3,181.3698803
REPLICATED TRIAL,2018,Pana,11,13,22308,2,N1,WPLUS,PHW52*Q381,UIUC8,27,5/25/2018,10/15/2018,1.88,1.7475,72.08125,93.75,234,85,6.27317736,15.2,58.7,118.2206183
REPLICATED TRIAL,2018,Pana,9,33,22204,2,N3,WPLUS,PHHB9*PHZ51,UIUC4,24,5/25/2018,10/15/2018,1.906666667,1.763333333,69.55583333,105.0833333,252,105,8.67267904,15.6,57.4,166.3534214
REPLICATED TRIAL,2018,Pana,11,21,22302,2,N1,WPLUS,PHHB9*PHR63,UIUC2,23,5/25/2018,10/15/2018,1.903333333,1.743333333,67.75333333,92.66666667,234,108,8.04672208,16.9,59.4,146.8525492
REPLICATED TRIAL,2018,Pana,11,25,22301,2,N1,WPLUS,PHHB9*PHM49,UIUC1,24,5/25/2018,10/15/2018,1.893333333,1.764166667,81.22416667,110.5833333,215,100,7.05789152,18.3,58.5,128.5846356
REPLICATED TRIAL,2018,Pana,11,29,22310,2,N1,WPLUS,17.461,ORG1,27,5/25/2018,10/15/2018,1.93,1.76,59.29083333,88.08333333,220,124,7.484268,15.7,56.7,145.1582605
REPLICATED TRIAL,2018,Pana,11,33,22306,2,N1,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.923333333,1.759166667,74.09166667,97.5,220,100,6.42739864,17.5,58.9,117.4415567
REPLICATED TRIAL,2018,Pana,11,37,22309,2,N1,WPLUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.896666667,1.734166667,77.47,102.6666667,245,127,7.0079964,21.4,54,133.0670611
REPLICATED TRIAL,2018,Pana,11,41,22303,2,N1,WPLUS,PHHB9*PHW30,UIUC3,32,5/25/2018,10/15/2018,1.896666667,1.738333333,93.67916667,112.25,260,115,8.60010432,16.3,59.1,158.8874538
REPLICATED TRIAL,2018,Pana,12,5,21305,2,N1,WMINUS,PHHB9*Q381,UIUC5,6,5/25/2018,10/15/2018,1.82,1.788333333,70.00166667,123.4166667,205,85,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,12,9,21307,2,N1,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.906666667,1.72,73.75083333,100,235,96,7.64756112,15.5,60.7,138.8797364
REPLICATED TRIAL,2018,Pana,12,13,21308,2,N1,WMINUS,PHW52*Q381,UIUC8,25,5/25/2018,10/15/2018,1.89,1.794166667,62.50166667,98,234,88,6.74491304,14.8,59.3,126.4180728
REPLICATED TRIAL,2018,Pana,10,33,21204,2,N3,WMINUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.873333333,1.75,74.28416667,110.0833333,245,100,8.164656,16.9,59.9,147.7610613
REPLICATED TRIAL,2018,Pana,12,21,21302,2,N1,WMINUS,PHHB9*PHR63,UIUC2,29,5/25/2018,10/15/2018,1.93,1.78125,62.7525,99.25,223,95,7.33004672,17,60.7,130.7507092
REPLICATED TRIAL,2018,Pana,12,25,21301,2,N1,WMINUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.903333333,1.765833333,84.61666667,101.4166667,220,88,NA,NA,NA,NA
REPLICATED TRIAL,2018,Pana,12,29,21310,2,N1,WMINUS,17.461,ORG1,31,5/25/2018,10/15/2018,1.92,1.748333333,64.165,96.16666667,240,133,8.68175088,18.5,55.4,166.6107705
REPLICATED TRIAL,2018,Pana,12,33,21306,2,N1,WMINUS,PHP38*Q381,UIUC6,29,5/25/2018,10/15/2018,1.92,1.754166667,59.99083333,98.33333333,222,82,7.62941744,15.4,60.3,139.6343725
REPLICATED TRIAL,2018,Pana,12,37,21309,2,N1,WMINUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.876666667,1.729166667,102.0933333,99.25,230,115,6.39111128,18.5,54.1,125.5985519
REPLICATED TRIAL,2018,Pana,12,41,21303,2,N1,WMINUS,PHHB9*PHW30,UIUC3,29,5/25/2018,10/15/2018,1.903333333,1.751666667,75.37833333,114.8333333,250,110,9.09905552,15.6,59.6,168.0894325
REPLICATED TRIAL,2018,Pana,13,5,31307,3,N1,WMINUS,PHW52*LH185,UIUC7,19,5/25/2018,10/15/2018,1.873333333,1.7275,72.1975,95.83333333,215,90,9.15802248,15.5,58.9,171.3921902
REPLICATED TRIAL,2018,Pana,13,9,31306,3,N1,WMINUS,PHP38*Q381,UIUC6,25,5/25/2018,10/15/2018,1.926666667,1.743333333,74.0425,101,230,105,7.8471416,15.4,61.8,140.1332797
REPLICATED TRIAL,2018,Pana,13,13,31310,3,N1,WMINUS,17.461,ORG1,33,5/25/2018,10/15/2018,1.926666667,1.755,52.65416667,88.75,237,120,7.78363872,15.2,56.2,153.2110594
