LOC,Year,Nitro,Weed,Code,EFFECT,EHT,FDS,FDT,PHT,RTA,GWT,MST,TWT,YIELD,PROT,SDL,STR,SDS,OIL,RLA
UIUC2020,2020,N1,WPLUS,CHECK,N1WPLUS,75.84923351,1.961441043,1.93604349,158.6003359,60.83479168,2.796294453,8.738413225,61.07658141,26.93267284,8.438140565,22.16223053,72.4002881,19.83672093,3.835579779,56.48578745
UIUC2020,2020,N1,WPLUS,ORG1,N1WPLUS,82.97654282,1.951862304,1.927884708,172.8440099,60.31946887,3.283106891,9.142014415,60.86315446,32.26020798,8.734601617,21.58624628,72.39043644,19.18872171,3.97676853,16.99643531
UIUC2020,2020,N1,WPLUS,ORG4,N1WPLUS,82.29122462,1.941053319,1.911805399,162.0854902,62.08046147,2.916346356,11.41930789,58.18008632,27.46555264,9.224406834,21.75791361,72.38780932,19.51683904,3.9588398,18.52909896
UIUC2020,2020,N1,WPLUS,UIUC1,N1WPLUS,73.38208798,1.944053725,1.923968625,173.904709,59.15678916,2.272497328,8.986513465,60.11608036,21.41789698,8.012783403,22.12802545,72.40981138,20.32337051,3.685426662,18.86376326
UIUC2020,2020,N1,WPLUS,UIUC2,N1WPLUS,74.75272439,1.958075146,1.933760822,163.6007746,61.3574687,3.225051251,12.17645753,58.09319147,30.41856963,7.987004181,22.72097469,72.4073813,20.59058892,3.743695036,18.78094456
UIUC2020,2020,N1,WPLUS,UIUC3,N1WPLUS,79.54995181,1.964247613,1.940641407,170.8741401,60.10079056,3.295114159,9.406777241,60.37384754,32.15149721,8.283465233,22.69731541,72.40541097,20.52838967,3.732489579,17.09631504
UIUC2020,2020,N1,WPLUS,UIUC4,N1WPLUS,77.4939972,1.943751528,1.919637404,178.4505625,60.19060792,2.584774432,6.564451369,62.2641444,25.10504353,8.579926285,22.09996444,72.40133895,20.22007532,3.784034679,18.88683335
UIUC2020,2020,N1,WPLUS,UIUC6,N1WPLUS,74.75272439,1.959075262,1.936654331,150.4177997,61.00188985,4.399637842,10.31344133,60.21814325,45.62747934,8.386582121,22.35278861,72.39963132,20.25857059,3.862472874,19.67931582
UIUC2020,2020,N1,WPLUS,UIUC7,N1WPLUS,73.38208798,1.94808514,1.923415991,165.1160591,57.36323652,3.959193522,12.05849477,58.29036401,40.09336788,7.97411457,21.76924806,72.40554232,19.54447112,3.779552496,17.56270641
UIUC2020,2020,N1,WPLUS,UIUC8,N1WPLUS,67.89954236,1.957310668,1.932870045,148.5994584,61.44407748,2.525915877,6.825786212,62.31711651,24.56024178,8.496143814,21.58789693,72.39904022,19.34291952,3.842303052,18.08310095
UIUC2020,2020,N2,WMINUS,CHECK,N2WMINUS,84.21011559,1.948916556,1.924594515,180.2689038,56.26269408,6.216045634,15.05666097,56.90436435,58.28844007,8.57348148,23.72897005,72.39949997,21.27196335,3.842303052,50.15887201
UIUC2020,2020,N2,WMINUS,ORG1,N2WMINUS,85.03249743,1.951693693,1.926732571,173.2985953,57.51474983,5.10014765,13.38529731,57.86147186,48.5254878,9.037199383,22.14233106,72.38801057,19.99330268,3.993775223,17.08355383
UIUC2020,2020,N2,WMINUS,ORG4,N2WMINUS,85.30662471,1.940536805,1.917821798,163.6007746,62.21337544,5.460235924,17.50434065,53.42313371,47.96913819,9.482199053,22.33096338,72.3872839,20.14078211,4.602033001,19.53902715
UIUC2020,2020,N2,WMINUS,UIUC1,N2WMINUS,90.10385213,1.924812646,1.902062483,183.2994727,59.48490514,8.57461652,20.67308028,52.27769654,75.51892465,8.438140565,23.21988287,72.40580503,21.36737528,3.714560849,18.20035217
UIUC2020,2020,N2,WMINUS,UIUC2,N2WMINUS,86.54019747,1.94076144,1.909814887,178.7536193,60.65470446,8.523488216,23.17471682,50.48093234,73.07400643,8.560591869,23.22157937,72.40002539,21.00864594,3.810927774,18.90404166
UIUC2020,2020,N2,WMINUS,UIUC3,N2WMINUS,87.36257932,1.931389889,1.898429147,186.0269848,57.07789827,5.000146181,16.36281876,55.11379816,47.61264609,8.663708757,23.42589284,72.40015675,21.36168632,3.790757953,18.98473568
UIUC2020,2020,N2,WMINUS,UIUC4,N2WMINUS,82.70241554,1.922252443,1.897922283,196.3309192,64.11338284,7.703212385,16.72441867,55.48941255,71.23680732,8.2447964,22.95637535,72.40514826,21.11158896,3.745936127,20.10104493
UIUC2020,2020,N2,WMINUS,UIUC6,N2WMINUS,85.44368835,1.948031682,1.927128139,172.2378961,59.23793946,5.344641498,12.37108056,59.46475334,51.0834719,8.960169809,22.95160681,72.39562498,20.78043752,3.853508509,18.03091612
UIUC2020,2020,N2,WMINUS,UIUC7,N2WMINUS,85.03249743,1.90745789,1.880581571,186.784627,54.83500624,4.877194115,14.91259488,56.50011917,45.06760201,8.277020428,22.48869191,72.405608,20.32412904,3.739212853,16.78307287
UIUC2020,2020,N2,WMINUS,UIUC8,N2WMINUS,81.19471549,1.945285703,1.928270983,165.5706445,61.39334145,6.680831047,15.36753458,56.99252334,63.40453106,9.089065918,22.38364654,72.39575634,20.19063904,3.81989214,19.3137183
UIUC2020,2020,N2,WPLUS,CHECK,N2WPLUS,87.08845203,1.945771001,1.920904989,175.2684651,59.55084624,3.827436363,10.00369707,60.37384754,37.84875159,8.670153562,22.67943339,72.3979237,20.4186199,3.862472874,51.67830307
UIUC2020,2020,N2,WPLUS,ORG1,N2WPLUS,76.53455171,1.96594314,1.942768523,153.4483687,61.50847137,6.855843982,19.44678785,54.21670457,131.0176941,9.21424801,22.0707113,72.38786586,19.84018849,3.99240301,18.67215413
UIUC2020,2020,N2,WPLUS,ORG4,N2WPLUS,84.48424287,1.95232017,1.923817157,161.6309048,57.47586238,3.445341815,11.68720681,58.01496697,34.29450811,9.230851639,22.45622918,72.38977966,20.06297886,3.920741248,17.55575598
UIUC2020,2020,N2,WPLUS,UIUC1,N2WPLUS,87.91083388,1.935701498,1.914978956,177.5413918,58.73713501,3.197252736,12.55992959,57.7353678,29.79269758,8.414395637,22.25485019,72.40547956,20.37278316,3.736211259,18.16925927
UIUC2020,2020,N2,WPLUS,UIUC2,N2WPLUS,82.29122462,1.956329824,1.930876693,174.0562375,63.11095703,3.159308542,11.94248855,58.46973583,29.87556202,8.32672605,23.12950993,72.4026549,21.12350868,3.821211193,19.53822323
UIUC2020,2020,N2,WPLUS,UIUC3,N2WPLUS,80.50939729,1.959161517,1.933937399,171.0256685,59.9015911,3.331894035,6.656254859,61.25088214,33.72677025,8.438140565,23.01370102,72.40311225,20.84852452,3.752659401,18.6747674
UIUC2020,2020,N2,WPLUS,UIUC4,N2WPLUS,89.55559756,1.929158655,1.902779411,178.299034,60.23816974,4.50384578,12.5598618,58.7020489,44.11463638,8.360802899,22.14288127,72.40370335,20.31166752,3.76834704,19.26596494
UIUC2020,2020,N2,WPLUS,UIUC6,N2WPLUS,78.45344268,1.949097234,1.926108209,154.6605963,60.49531946,2.990930043,8.492142024,60.78160331,29.13996739,8.708822395,22.39909844,72.39930294,20.10285573,3.810927774,17.46087756
UIUC2020,2020,N2,WPLUS,UIUC7,N2WPLUS,87.08845203,1.932136291,1.910280535,193.4518787,60.96759488,4.119613212,13.47449702,57.60110834,39.84935129,8.282371623,21.72820196,72.4044332,19.58012191,3.773431161,18.71279065
UIUC2020,2020,N2,WPLUS,UIUC8,N2WPLUS,75.43804259,1.956777152,1.933101744,158.4488074,60.84403608,4.314093519,10.94487077,60.32349269,41.68190999,8.948732141,21.67891421,72.39785718,19.41744009,3.820262383,18.76485863
UIUC2020,2020,N3,WMINUS,CHECK,N3WMINUS,84.07305194,1.955625073,1.932583303,182.2387736,57.67803922,8.832481009,14.90950588,57.53323182,83.42074723,8.264130817,23.9985758,72.405608,21.73195611,3.795240135,52.44546583
UIUC2020,2020,N3,WMINUS,ORG1,N3WMINUS,80.92058821,1.943706014,1.923068352,166.3282867,59.95464895,6.297808307,15.30254319,56.41322432,59.49464069,9.256630861,22.75187847,72.38780932,20.26247159,3.949875435,18.26290434
UIUC2020,2020,N3,WMINUS,ORG4,N3WMINUS,93.94163406,1.939753087,1.914150746,176.935278,58.86418398,8.047772693,20.03540821,51.87342459,71.45812771,9.611095162,22.66714524,72.38629874,20.21360075,3.920741248,17.97832093
UIUC2020,2020,N3,WMINUS,UIUC1,N3WMINUS,78.86463361,1.936304424,1.917247967,171.6317824,63.64358667,8.216718393,21.75221761,51.31193578,71.50907288,8.470364592,23.15216048,72.40350631,21.37479801,3.770588131,19.61428818
UIUC2020,2020,N3,WMINUS,UIUC2,N3WMINUS,91.88567945,1.943690516,1.916062075,186.0269848,58.96848906,9.432682837,19.69204634,52.8616449,84.28191791,8.554147063,23.55024162,72.40252115,21.40513911,3.76834704,17.88782443
UIUC2020,2020,N3,WMINUS,UIUC3,N3WMINUS,98.46473421,1.918087518,1.890259751,197.3916183,58.51766329,7.963299843,18.63743485,54.05200118,72.08556028,8.876387338,23.04716096,72.3979237,21.0263088,3.799722318,18.36027524
UIUC2020,2020,N3,WMINUS,UIUC4,N3WMINUS,102.3025161,1.931071013,1.896037774,214.9689181,54.78650637,9.214831803,15.4245487,57.03912167,86.50526589,8.605705507,23.15546177,72.40258682,21.27152991,3.775070314,16.807473
UIUC2020,2020,N3,WMINUS,UIUC6,N3WMINUS,84.34717923,1.941652347,1.918328006,169.813441,59.79042057,5.986245033,12.44292222,59.51247406,58.23188785,8.91505617,23.21497678,72.39634744,21.04191279,3.857990692,18.58864016
UIUC2020,2020,N3,WMINUS,UIUC7,N3WMINUS,84.6213065,1.94455314,1.919259406,185.7239279,54.2526698,8.330089849,16.1357983,56.00598225,77.63988258,8.534812647,22.38653518,72.39989404,20.30343208,3.810927774,16.82819904
UIUC2020,2020,N3,WMINUS,UIUC8,N3WMINUS,74.06740619,1.947207214,1.929259656,164.8130022,66.25596545,8.023320026,14.29635966,57.69044869,75.46625551,9.147069168,22.69942457,72.39641311,20.61746247,3.831097596,20.46477121
UIUC2020,2020,N3,WPLUS,CHECK,N3WPLUS,94.62695226,1.945185342,1.922658758,193.7549356,56.82200419,5.513587198,11.45626641,60.18345902,53.17844255,8.186793151,22.95316576,72.40698723,20.68193731,3.741453944,48.9503753
UIUC2020,2020,N3,WPLUS,ORG1,N3WPLUS,91.88567945,1.951507277,1.924543486,178.4505625,54.81296224,3.076415561,7.480829909,61.80070518,29.94222231,9.11844552,22.66540289,72.39258369,20.46358974,3.929255824,15.24019427
UIUC2020,2020,N3,WPLUS,ORG4,N3WPLUS,101.0689434,1.952452209,1.929209561,191.9365942,59.85147067,5.455789985,17.09230639,54.38889447,49.75506233,9.346858138,22.48043867,72.38767797,19.92568537,3.934187796,18.11713664
UIUC2020,2020,N3,WPLUS,UIUC1,N3WPLUS,86.40313383,1.92960841,1.899632538,176.935278,56.58031677,3.403988922,11.21836568,59.26261737,32.3778012,8.534812647,22.92116154,72.40304657,21.14333876,3.766105948,16.45929966
UIUC2020,2020,N3,WPLUS,UIUC2,N3WPLUS,95.31227046,1.942031185,1.919927432,194.5125778,57.31012173,5.288800641,14.3601681,57.3111378,50.10316804,8.405916537,23.39242138,72.40481987,21.25603427,3.741453944,16.02895976
UIUC2020,2020,N3,WPLUS,UIUC3,N3WPLUS,108.1962527,1.934633,1.910541627,221.1815845,54.81289304,4.873371915,12.70217951,59.28507692,46.3091553,8.837718505,22.73723633,72.39930294,20.63616441,3.775070314,15.92647341
UIUC2020,2020,N3,WPLUS,UIUC4,N3WPLUS,104.9067253,1.933284577,1.900341089,215.5750319,57.47682673,6.251613149,12.75123121,59.39737468,60.02372386,8.650819146,22.89438437,72.40271818,21.01037972,3.752659401,17.75363076
UIUC2020,2020,N3,WPLUS,UIUC6,N3WPLUS,93.94163406,1.943699625,1.920039229,180.7234892,49.96409543,3.887472702,9.161269893,61.27091023,38.75679684,8.670153562,22.8955765,72.39936861,20.68237075,3.833338687,15.15398027
UIUC2020,2020,N3,WPLUS,UIUC7,N3WPLUS,100.7948161,1.931016634,1.889864192,205.422626,55.88160697,5.809025557,12.73538345,59.1359297,56.16810553,8.293754948,22.05429653,72.40410214,19.89566936,3.768373812,17.54963109
UIUC2020,2020,N3,WPLUS,UIUC8,N3WPLUS,77.76812448,1.949297513,1.92184099,177.6929202,54.649194,4.99785822,10.81614176,60.38559499,47.91224152,9.005283447,22.60955599,72.3985148,20.46586533,3.790757953,16.48506999
UIUC2019,2019,N1,WMINUS,CHECK,N1WMINUS,119.6902247,1.946530816,1.905357315,268.6369793,94.50634716,6.979195286,23.95954397,58.70112855,123.1276096,8.148124318,23.16499885,72.40166733,20.90136848,3.869196148,55.19011632
UIUC2019,2019,N1,WMINUS,ORG1,N1WMINUS,120.8183937,1.949008809,1.920866471,244.3501488,93.01369813,6.09691416,24.40100925,53.49051237,105.913425,8.534812647,22.36443484,72.4067902,20.11954334,3.714560849,53.05983302
UIUC2019,2019,N1,WMINUS,ORG4,N1WMINUS,114.7262814,1.946530816,1.920866471,224.1111233,73.34084573,8.001633071,30.77772986,49.80714576,129.9080503,9.269520472,22.75921469,72.3943771,20.59904109,3.869196148,51.50734395
UIUC2019,2019,N1,WMINUS,UIUC1,N1WMINUS,115.4031827,1.93414085,1.887909514,238.8737066,90.75508446,8.092381987,34.82449486,56.09582046,124.7119286,8.03211782,23.0522046,72.4144745,21.28821751,3.61371174,54.16738479
UIUC2019,2019,N1,WMINUS,UIUC2,N1WMINUS,116.3057179,1.951486802,1.911173248,220.3014244,88.0229257,9.139019483,31.43992777,58.72358811,148.1586508,8.03211782,23.170501,72.4091546,21.22320087,3.73473067,60.52483713
UIUC2019,2019,N1,WMINUS,UIUC3,N1WMINUS,130.2950129,1.941574829,1.893725447,269.8275102,91.80692194,7.96130022,25.65182752,58.81342632,138.8334555,8.070786652,22.70694418,72.41230713,21.00376969,3.680944479,52.22088318
UIUC2019,2019,N1,WMINUS,UIUC4,N1WMINUS,123.9772667,1.921750885,1.876277647,246.7312106,88.090575,7.860468091,27.93273143,56.14073957,132.9386694,8.824828894,22.74683483,72.39890887,20.99239178,3.815409957,54.78769871
UIUC2019,2019,N1,WMINUS,UIUC6,N1WMINUS,115.6288165,1.939096836,1.90341867,234.3496891,87.28533013,6.702915254,23.73881134,58.6337499,118.2609193,8.708822395,22.85137583,73.65302594,20.92249889,3.875919422,56.778304
UIUC2019,2019,N1,WMINUS,UIUC7,N1WMINUS,115.6288165,1.944052823,1.897602737,248.8741662,94.97989225,6.700898611,27.81010219,56.61239017,111.9913035,8.57348148,22.6134075,72.4020614,20.69656605,3.822133231,52.65203227
UIUC2019,2019,N1,WMINUS,UIUC8,N1WMINUS,113.5981124,1.941574829,1.905357315,236.2545386,90.09386712,7.236317215,24.49911264,59.12786005,127.0857087,8.090121069,22.41945642,72.40284953,20.68356272,3.862472874,58.25116961
UIUC2019,2019,N1,WPLUS,CHECK,N1WPLUS,120.5927599,1.956442788,1.915050537,264.1129618,89.09222106,6.150355188,24.69531943,58.76850721,106.6102405,8.438140565,22.16223053,72.4002881,19.83672093,3.835579779,56.48578745
UIUC2019,2019,N1,WPLUS,ORG1,N1WPLUS,118.5620558,1.953964795,1.922805116,234.111583,90.18333878,4.87482876,23.91049228,52.09802012,83.69715469,8.418806148,21.73031112,72.40816943,19.56527644,3.687667753,53.47135955
UIUC2019,2019,N1,WPLUS,ORG4,N1WPLUS,115.1775489,1.946530816,1.920866471,218.396575,77.59184035,6.825930451,32.34738416,48.32481529,107.4818283,8.57348148,21.68766939,72.4014703,19.62054059,3.842303052,53.50138932
UIUC2019,2019,N1,WPLUS,UIUC1,N1WPLUS,111.3417745,1.941574829,1.907295959,232.6829459,83.39440435,7.064902596,34.16229695,56.34287554,108.8469012,8.186793151,21.90225356,72.4132923,20.08215877,3.627158288,57.51857143
UIUC2019,2019,N1,WPLUS,UIUC2,N1WPLUS,112.9212111,1.946530816,1.909234604,237.6831757,88.46373726,8.344462309,33.20578886,57.42093406,131.7554647,7.993448987,22.7839744,72.4091546,20.93225139,3.728007396,55.35653387
UIUC2019,2019,N1,WPLUS,UIUC3,N1WPLUS,127.1361398,1.951486802,1.905357315,262.9224309,94.32085715,7.038686242,26.53475807,58.04980153,120.2567466,8.264130817,22.2447629,72.4097457,20.44787739,3.680944479,48.36609255
UIUC2019,2019,N1,WPLUS,UIUC4,N1WPLUS,118.5620558,1.939096836,1.891786803,262.6843247,88.74088116,7.273625102,29.60048913,54.88300463,120.2141966,9.11484514,21.57349961,72.3979237,19.74894846,3.808686683,53.79783018
UIUC2019,2019,N1,WPLUS,UIUC6,N1WPLUS,111.7930421,1.941574829,1.90341867,232.4448397,79.92246779,5.772234706,24.03312152,57.91504422,100.3443225,8.360802899,22.70281756,72.39890887,20.92412431,3.922982339,58.56158958
UIUC2019,2019,N1,WPLUS,UIUC7,N1WPLUS,128.7155763,1.929184864,1.884032225,255.0649269,93.92805477,6.183629791,28.44777425,57.3086363,101.9256183,8.438140565,22.31904204,72.40344063,20.38773699,3.788516861,51.22430757
UIUC2019,2019,N1,WPLUS,UIUC8,N1WPLUS,104.5727608,1.931662857,1.897602737,223.634911,86.36442677,6.415543687,26.0442411,58.13963974,109.5054142,8.438140565,21.41531257,72.39772667,19.64004559,3.909535791,54.92691461
UIUC2019,2019,N2,WMINUS,CHECK,N2WMINUS,120.8183937,1.941574829,1.885970869,262.4462185,98.68314577,7.795935529,24.64626773,59.21769826,137.1459471,8.57348148,23.72897005,72.39949997,21.27196335,3.842303052,50.15887201
UIUC2019,2019,N2,WMINUS,ORG1,N2WMINUS,121.7209288,1.956442788,1.918927826,230.7780964,91.946585,6.584941663,24.03312152,53.3332955,115.2702767,8.49521954,21.84585644,72.40640876,19.91474091,3.758857653,51.34068629
UIUC2019,2019,N2,WMINUS,ORG4,N2WMINUS,119.0133234,1.944052823,1.911173248,227.6827161,99.89646867,8.303121136,29.72311837,50.50339189,136.8973932,8.457474981,22.18699024,72.40895757,20.17968373,5.731543013,56.49947143
UIUC2019,2019,N2,WMINUS,UIUC1,N2WMINUS,115.8544503,1.93414085,1.88209358,237.9212819,91.17189143,8.67418337,32.86242698,58.52145213,136.3104131,7.97411457,23.19938733,72.41486857,21.45726079,3.660774658,53.30500804
UIUC2019,2019,N2,WMINUS,UIUC2,N2WMINUS,125.5567033,1.936618843,1.895664092,236.7307509,89.66178451,8.842573025,32.86242698,56.20811823,139.7427212,8.399471732,23.6436866,72.39989404,21.8522369,3.8557496,54.73857928
UIUC2019,2019,N2,WMINUS,UIUC3,N2WMINUS,121.4952951,1.919272892,1.86076849,267.4464484,95.21120921,8.628808912,25.11225885,59.30753647,151.400196,8.457474981,23.76335854,72.40166733,22.11392889,3.842303052,53.36809736
UIUC2019,2019,N2,WMINUS,UIUC4,N2WMINUS,130.5206466,1.906882927,1.853013912,274.82774,84.80631068,8.718549506,25.72540507,57.08404077,152.281753,8.109455485,23.34106791,72.40718427,21.83598274,3.775070314,56.90089938
UIUC2019,2019,N2,WMINUS,UIUC6,N2WMINUS,100.7369864,1.944052823,1.901480026,230.301884,94.27284797,7.039679335,24.20636305,58.49870078,123.6068072,9.17284839,23.56252977,72.39536227,21.801849,3.842303052,53.16465635
UIUC2019,2019,N2,WMINUS,UIUC7,N2WMINUS,124.8798019,1.93414085,1.893725447,253.874396,99.64114713,6.81786388,29.69859252,57.55569138,111.5212547,8.728156811,23.22277151,72.40698723,21.28171585,3.701114301,47.81750166
UIUC2019,2019,N2,WMINUS,UIUC8,N2WMINUS,105.9265636,1.93414085,1.897602737,232.4448397,88.67977856,7.947183722,26.06876695,58.13963974,137.4423979,8.57348148,22.22963197,72.4032436,20.28208495,3.754900492,57.15234584
UIUC2019,2019,N2,WPLUS,CHECK,N2WPLUS,121.2696613,1.944052823,1.895664092,265.0653865,94.17246514,6.806772346,24.96510376,59.59951066,118.5450774,8.670153562,22.67943339,72.3979237,20.4186199,3.862472874,51.67830307
UIUC2019,2019,N2,WPLUS,ORG1,N2WPLUS,132.325717,1.951486802,1.920866471,240.5404499,84.38950371,5.57157877,25.1858364,53.08624043,95.08931043,8.940835392,21.67528954,72.40245547,19.60753726,3.741453944,55.66774589
UIUC2019,2019,N2,WPLUS,ORG4,N2WPLUS,116.3057179,1.956442788,1.92474376,222.6824862,93.74911147,7.198001006,30.16458364,49.3130356,117.1824281,8.051452236,22.24613844,72.41171603,20.10328917,3.701114301,49.25495013
UIUC2019,2019,N2,WPLUS,UIUC1,N2WPLUS,115.1775489,1.944052823,1.905357315,239.3499189,89.36063602,7.997599786,34.06419356,57.53323182,123.7981156,8.534812647,22.02605212,72.4091546,20.27070703,3.674221205,53.48281139
UIUC2019,2019,N2,WPLUS,UIUC2,N2WPLUS,120.8183937,1.944052823,1.90341867,243.397724,86.83360739,8.406978229,33.72083168,56.20811823,130.4967293,8.380137315,22.74958591,72.39989404,20.93225139,3.902812517,56.00749051
UIUC2019,2019,N2,WPLUS,UIUC3,N2WPLUS,133.4538859,1.944052823,1.895664092,275.0658462,92.77365223,8.535035032,26.95169749,57.57815093,146.0938641,8.457474981,22.82111396,72.4038347,20.92574972,3.775070314,52.93210349
UIUC2019,2019,N2,WPLUS,UIUC4,N2WPLUS,129.6181115,1.93414085,1.872400357,275.7801647,92.52924186,8.525960141,25.9951894,56.54501151,148.3763229,8.109455485,22.33417297,72.40718427,20.68356272,3.795240135,53.22017365
UIUC2019,2019,N2,WPLUS,UIUC6,N2WPLUS,116.3057179,1.916794899,1.858829846,235.54022,86.13965652,7.120360267,25.28393979,59.41983424,123.6270411,8.496143814,22.76059023,72.40245547,20.88511432,3.795240135,51.8559666
UIUC2019,2019,N2,WPLUS,UIUC7,N2WPLUS,121.4952951,1.941574829,1.891786803,252.2076527,97.9761015,6.463943109,30.87583325,56.94928346,103.328294,9.037507475,21.5102248,72.39831777,19.73757055,3.815409957,54.44474342
UIUC2019,2019,N2,WPLUS,UIUC8,N2WPLUS,109.0854366,1.931662857,1.884032225,245.0644673,87.45554449,7.189934435,26.87811995,58.76850721,122.1675487,8.418806148,21.87199169,72.40403173,20.26420537,3.76834704,54.95601495
UIUC2019,2019,N3,WMINUS,CHECK,N3WMINUS,125.7823371,1.931662857,1.878216291,278.6374389,101.159983,10.03844207,25.9951894,61.7556277,175.8965015,8.264130817,23.9985758,72.405608,21.73195611,3.795240135,52.44546583
UIUC2019,2019,N3,WMINUS,ORG1,N3WMINUS,129.3924777,1.941574829,1.905357315,246.4931044,90.34918867,8.356562164,25.50467243,54.72578776,146.0824958,8.341468483,23.60517149,72.41073087,21.46538787,3.667497932,54.40195357
UIUC2019,2019,N3,WMINUS,ORG4,N3WMINUS,121.0440275,1.936618843,1.90341867,234.5877953,87.73705286,8.973654792,30.50794552,50.50339189,146.8178137,8.148124318,22.80735857,72.411519,20.86073308,3.687667753,51.97192329
UIUC2019,2019,N3,WMINUS,UIUC1,N3WMINUS,115.1775489,1.929184864,1.884032225,241.4928746,87.33988601,10.33488853,36.95824368,56.63484972,155.0190945,8.03211782,23.67807509,72.4073813,21.9936481,3.788516861,57.20255851
UIUC2019,2019,N3,WMINUS,UIUC2,N3WMINUS,128.038675,1.939096836,1.901480026,248.1598477,95.45780181,9.443532512,36.09983898,57.55569138,142.9195544,8.476809398,24.21728658,72.40816943,22.10742723,3.694391027,53.08036643
UIUC2019,2019,N3,WMINUS,UIUC3,N3WMINUS,131.6488156,1.931662857,1.866584424,282.2090316,101.4131223,11.17381184,27.58936955,58.45407348,192.2779504,8.689487979,23.75372976,72.40107624,22.2764705,3.815409957,51.70779817
UIUC2019,2019,N3,WMINUS,UIUC4,N3WMINUS,131.8744494,1.911838913,1.853013912,287.4473676,99.00611662,11.13347899,28.3741967,58.31931616,189.874163,8.728156811,23.20488949,72.40481987,21.49627077,3.775070314,44.94975289
UIUC2019,2019,N3,WMINUS,UIUC6,N3WMINUS,120.8183937,1.924228878,1.880154936,247.9217415,84.56190031,8.718549506,23.66523379,60.09362081,156.3589821,8.399471732,23.84176429,72.4038347,22.07329349,3.801963409,52.78787442
UIUC2019,2019,N3,WMINUS,UIUC7,N3WMINUS,124.8798019,1.919272892,1.856891201,254.8268207,100.260902,9.217668544,34.03966771,56.79206659,143.9202914,9.269520472,23.46073984,72.3920127,21.65881238,3.902812517,48.75781093
UIUC2019,2019,N3,WMINUS,UIUC8,N3WMINUS,113.3724786,1.921750885,1.88209358,247.4455291,85.76649427,9.001887788,26.11781864,59.59951066,156.6704241,8.650819146,22.89951972,72.40659317,21.26546169,3.721284123,59.35320529
UIUC2019,2019,N3,WPLUS,CHECK,N3WPLUS,119.6902247,1.939096836,1.884032225,271.7323596,94.54126293,8.827448205,26.26497373,60.20591857,153.1300795,8.186793151,22.95316576,72.40698723,20.68193731,3.741453944,48.9503753
UIUC2019,2019,N3,WPLUS,ORG1,N3WPLUS,129.3924777,1.941574829,1.901480026,245.3025735,92.43104127,7.538813601,26.14234449,54.2316776,129.8927842,8.399471732,22.63954275,72.40836647,20.44787739,3.707837575,46.19924863
UIUC2019,2019,N3,WPLUS,ORG4,N3WPLUS,124.2029005,1.939096836,1.907295959,229.3494593,90.63724375,7.746527786,31.26824683,49.87452442,124.5655646,7.780770406,21.87336723,72.41427747,19.64817267,3.680944479,53.38070149
