EXP,Year,Loc,Range,Row,Plot,REP,Nitro,Weed,HYB,Code,TRT,STC,PDT,HDT,MFL,FFL,DTA,DTS,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
REPLICATED TRIAL,2018,Pana,2,5,11110,1,N2,WMINUS,17.461,ORG1,PanaN2WMINUSORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.923333333,1.765833333,78.385,0.170833333,97.5,252,142,22.84,21.262,10.8181692,15.4,57,209.4581127,10.8,4.9,67.7
REPLICATED TRIAL,2018,Pana,3,29,11310,1,N1,WPLUS,17.461,ORG1,PanaN1WPLUSORG1,28,5/25/2018,10/15/2018,NA,NA,NA,NA,1.933333333,1.754166667,77.47333333,0.008333333,84.08333333,257,130,22.136,19.974,8.20547928,14.7,56.2,162.4667818,9.8,4.3,69.2
REPLICATED TRIAL,2018,Pana,4,29,12310,1,N1,WMINUS,17.461,ORG1,PanaN1WMINUSORG1,23,5/25/2018,10/15/2018,NA,NA,NA,NA,1.93,1.7525,56.58583333,-1.94,81.58333333,255,135,21.078,18.864,6.88552656,15.1,55.8,136.6653942,8.4,5,69.5
REPLICATED TRIAL,2018,Pana,5,5,12210,1,N3,WPLUS,17.461,ORG1,PanaN3WPLUSORG1,36,5/25/2018,10/15/2018,NA,NA,NA,NA,1.903333333,1.750833333,60.245,-2.9375,87.25,240,105,21.984,20.05,8.54567328,15.1,56,169.0105664,NA,NA,NA
REPLICATED TRIAL,2018,Pana,6,5,11210,1,N3,WMINUS,17.461,ORG1,PanaN3WMINUSORG1,28,5/25/2018,10/15/2018,NA,NA,NA,NA,1.893333333,1.754166667,71.22583333,1.663333333,105.3333333,245,128,22.212,19.602,9.3213156,14.9,58,178.413079,10.1,5,68.1
REPLICATED TRIAL,2018,Pana,7,41,22110,2,N2,WPLUS,17.461,ORG1,PanaN2WPLUSORG1,32,5/25/2018,10/15/2018,NA,NA,NA,NA,1.923333333,1.778333333,64.69833333,1.245833333,91.41666667,257,148,23.992,21.432,8.1419764,14.9,55.1,164.042247,9.5,5,68.6
REPLICATED TRIAL,2018,Pana,8,41,21110,2,N2,WMINUS,17.461,ORG1,PanaN2WMINUSORG1,32,5/25/2018,10/15/2018,NA,NA,NA,NA,1.92,1.755,67.56,-0.354166667,96.25,250,150,22.672,19.708,9.46192912,15.7,55.1,188.8441671,9.6,5.3,68.5
REPLICATED TRIAL,2018,Pana,9,5,22210,2,N3,WPLUS,17.461,ORG1,PanaN3WPLUSORG1,25,5/25/2018,10/15/2018,NA,NA,NA,NA,1.916666667,1.743333333,67.93916667,0.485,105.6666667,247,132,22.568,20.508,9.11266328,14.7,58.2,174.2285325,10.1,4.8,68.2
REPLICATED TRIAL,2018,Pana,10,5,21210,2,N3,WMINUS,17.461,ORG1,PanaN3WMINUSORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.883333333,1.721666667,67.77833333,2.601666667,109.6666667,255,145,22.546,20.048,8.87679544,15,56.5,174.210609,10.8,4.6,68.2
REPLICATED TRIAL,2018,Pana,11,29,22310,2,N1,WPLUS,17.461,ORG1,PanaN1WPLUSORG1,27,5/25/2018,10/15/2018,NA,NA,NA,NA,1.93,1.76,59.29083333,-1.256666667,88.08333333,220,124,19.078,16.544,7.484268,15.7,56.7,145.1582605,8.5,4.9,69.5
REPLICATED TRIAL,2018,Pana,12,29,21310,2,N1,WMINUS,17.461,ORG1,PanaN1WMINUSORG1,31,5/25/2018,10/15/2018,NA,NA,NA,NA,1.92,1.748333333,64.165,-0.400833333,96.16666667,240,133,19.556,17.436,8.68175088,18.5,55.4,166.6107705,8.7,4.7,69.6
REPLICATED TRIAL,2018,Pana,13,13,31310,3,N1,WMINUS,17.461,ORG1,PanaN1WMINUSORG1,33,5/25/2018,10/15/2018,NA,NA,NA,NA,1.926666667,1.755,52.65416667,-1.075,88.75,237,120,20.774,18.546,7.78363872,15.2,56.2,153.2110594,9.1,4.6,69.4
REPLICATED TRIAL,2018,Pana,14,13,32310,3,N1,WPLUS,17.461,ORG1,PanaN1WPLUSORG1,31,5/25/2018,10/15/2018,NA,NA,NA,NA,1.933333333,1.761666667,63.08083333,-0.854166667,89.5,255,147,20.714,18.442,8.24176664,15.7,55.5,163.306253,8.6,4.9,69.5
REPLICATED TRIAL,2018,Pana,15,9,32210,3,N3,WPLUS,17.461,ORG1,PanaN3WPLUSORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.933333333,1.775833333,54.58083333,-0.29,97.66666667,257,145,23.992,21.632,9.70233288,14.8,56.9,189.5184118,9.5,5,68.7
REPLICATED TRIAL,2018,Pana,16,9,31210,3,N3,WMINUS,17.461,ORG1,PanaN3WMINUSORG1,31,5/25/2018,10/15/2018,NA,NA,NA,NA,1.943333333,1.7725,61.64416667,-0.515833333,107.25,255,137,24.326,22.172,8.82690032,15,56.4,173.5385455,10.4,4.9,68.1
REPLICATED TRIAL,2018,Pana,17,37,31110,3,N2,WMINUS,17.461,ORG1,PanaN2WMINUSORG1,30,5/25/2018,10/15/2018,NA,NA,NA,NA,1.943333333,1.785,66.99916667,-0.884166667,98.25,265,120,21.262,18.994,9.38481848,15.1,56.1,185.275765,9.7,5,68.5
REPLICATED TRIAL,2018,Pana,18,37,32110,3,N2,WPLUS,17.461,ORG1,PanaN2WPLUSORG1,25,5/25/2018,10/15/2018,NA,NA,NA,NA,1.916666667,1.744166667,64.51583333,0.5125,99.75,245,125,21.892,19.358,8.7770052,14.7,53.3,183.2382295,9.3,5.2,68.6
REPLICATED TRIAL,2018,Pana,19,9,42110,4,N2,WPLUS,17.461,ORG1,PanaN2WPLUSORG1,30,5/25/2018,10/15/2018,NA,NA,NA,NA,1.93,1.775,78.985,-0.72,94.5,240,115,19.918,17.756,9.28502824,15.4,57.9,176.9794892,10.1,4.5,68.8
REPLICATED TRIAL,2018,Pana,20,9,41110,4,N2,WMINUS,17.461,ORG1,PanaN2WMINUSORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.916666667,1.76,61.9075,-0.999166667,98.66666667,253,100,22.898,20.08,9.00833712,15.2,57.3,173.91369,9.4,4.5,69.4
REPLICATED TRIAL,2018,Pana,21,25,41210,4,N3,WMINUS,17.461,ORG1,PanaN3WMINUSORG1,31,5/25/2018,10/15/2018,NA,NA,NA,NA,1.906666667,1.763333333,75.46583333,-0.024166667,95.5,270,146,23.23,20.95,9.07637592,15.2,56.1,178.9754137,10.6,4.4,68.4
REPLICATED TRIAL,2018,Pana,22,25,42210,4,N3,WPLUS,17.461,ORG1,PanaN3WPLUSORG1,28,5/25/2018,10/15/2018,NA,NA,NA,NA,1.91,1.76,80.02375,1.3825,107.625,257,137,22.928,20.408,8.81782848,14.6,56.4,174.176004,10.7,4.2,68.7
REPLICATED TRIAL,2018,Pana,23,33,41310,4,N1,WMINUS,17.461,ORG1,PanaN1WMINUSORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.94,1.764166667,65.52333333,-0.335,94.33333333,235,126,22.04,19.382,8.5275296,15,56.2,168.2494894,9.1,5,68.9
REPLICATED TRIAL,2018,Pana,24,33,42310,4,N1,WPLUS,17.461,ORG1,PanaN1WPLUSORG1,31,5/25/2018,10/15/2018,NA,NA,NA,NA,1.95,1.77125,52.91375,-0.71,86.875,260,152,23.752,20.234,8.391452,15.5,57.3,161.4310646,8.8,4.9,69.4
REPLICATED TRIAL,2018,Macomb,1,13,11210,1,N2,WMINUS,17.461,ORG1,MacombN2WMINUSORG1,19,6/7/2018,11/20/2018,NA,NA,NA,NA,1.91,1.729166667,72.28416667,0.071666667,95.08333333,222,107,20.052,18.432,6.19606672,17.5,51.2,130.241078,8.6,5,69.5
REPLICATED TRIAL,2018,Macomb,2,13,12210,1,N2,WPLUS,17.461,ORG1,MacombN2WPLUSORG1,23,6/7/2018,11/20/2018,NA,NA,NA,NA,1.913333333,1.718333333,73.16333333,-0.966666667,112.75,220,101,22.604,19.986,6.15524344,19.1,50.5,128.6323745,9,4.9,69.5
REPLICATED TRIAL,2018,Macomb,3,13,12110,1,N1,WPLUS,17.461,ORG1,MacombN1WPLUSORG1,34,6/7/2018,11/20/2018,NA,NA,NA,NA,1.923333333,1.7675,70.11,-0.903333333,96.41666667,215,89,20.788,19.024,5.6699,17,51.6,118.9739003,8.6,5,69.5
REPLICATED TRIAL,2018,Macomb,4,13,11110,1,N1,WMINUS,17.461,ORG1,MacombN1WMINUSORG1,32,6/7/2018,11/20/2018,NA,NA,NA,NA,1.923333333,1.745,83.81916667,-0.424166667,90.25,220,100,21.238,19.706,6.38657536,16.9,52.8,131.1242604,8.5,5,69.7
REPLICATED TRIAL,2018,Macomb,5,29,11310,1,N3,WMINUS,17.461,ORG1,MacombN3WMINUSORG1,28,6/7/2018,11/21/2018,NA,NA,NA,NA,1.92,1.75,81.07083333,-0.349166667,107.25,224,105,20.782,18.732,7.13046624,17.3,52.3,147.0854311,9.2,4.7,69.6
REPLICATED TRIAL,2018,Macomb,6,29,12310,1,N3,WPLUS,17.461,ORG1,MacombN3WPLUSORG1,33,6/7/2018,11/21/2018,NA,NA,NA,NA,1.926666667,1.7275,81.58333333,-0.519166667,99.5,210,89,21.758,19.704,6.84016736,16.4,54.2,137.6326994,9.5,4.9,69
REPLICATED TRIAL,2018,Macomb,7,5,21110,2,N1,WMINUS,17.461,ORG1,MacombN1WMINUSORG1,17,6/7/2018,11/20/2018,NA,NA,NA,NA,1.92,1.708333333,61.20666667,-2.006666667,81.16666667,220,114,17.762,16.558,5.00311976,18.7,53.9,98.44430295,10.7,4.9,67.8
REPLICATED TRIAL,2018,Macomb,8,5,22110,2,N1,WPLUS,17.461,ORG1,MacombN1WPLUSORG1,5,6/7/2018,11/20/2018,NA,NA,NA,NA,1.926666667,1.710833333,45.0175,-1.424166667,68.41666667,242,127,18.554,16.66,4.88064992,17,53.3,99.14628596,9.6,4.9,68.8
REPLICATED TRIAL,2018,Macomb,9,29,22310,2,N3,WPLUS,17.461,ORG1,MacombN3WPLUSORG1,33,6/7/2018,11/21/2018,NA,NA,NA,NA,1.943333333,1.746666667,77.20333333,-0.55,107.0833333,228,108,22.952,20.334,5.97834256,17.8,52.4,122.3402141,9.3,4.9,69.2
REPLICATED TRIAL,2018,Macomb,10,29,21310,2,N3,WMINUS,17.461,ORG1,MacombN3WMINUSORG1,23,6/7/2018,11/21/2018,NA,NA,NA,NA,1.916666667,1.740833333,76.46583333,-0.735833333,110.9166667,225,122,22.794,20.194,6.84470328,17.2,51.7,143.0020716,9.4,4.8,69.3
REPLICATED TRIAL,2018,Macomb,11,9,22210,2,N2,WPLUS,17.461,ORG1,MacombN2WPLUSORG1,30,6/7/2018,11/20/2018,NA,NA,NA,NA,1.9,1.715,87.81833333,0.145833333,118.4166667,230,109,22.79,20.952,6.06906096,18.6,54.3,118.6844944,9.5,5,68.9
REPLICATED TRIAL,2018,Macomb,12,9,21210,2,N2,WMINUS,17.461,ORG1,MacombN2WMINUSORG1,23,6/7/2018,11/20/2018,NA,NA,NA,NA,1.863333333,1.715,76.9375,0.98,108.9166667,230,109,22.726,20.758,6.09627648,17.8,53.1,123.1090161,8.5,4.9,69.7
REPLICATED TRIAL,2018,Macomb,13,9,32210,3,N2,WPLUS,17.461,ORG1,MacombN2WPLUSORG1,31,6/7/2018,11/20/2018,NA,NA,NA,NA,1.896666667,1.716666667,88.05916667,0.954166667,101.5,212,95,22.324,20.54,7.3255108,18.3,53.3,146.4807887,9.5,5.3,68.6
REPLICATED TRIAL,2018,Macomb,14,9,31210,3,N2,WMINUS,17.461,ORG1,MacombN2WMINUSORG1,23,6/7/2018,11/20/2018,NA,NA,NA,NA,1.905,1.73875,55.3975,1.11625,133,222,104,24.682,22.104,4.61756656,18.4,54.8,89.69550382,10.7,4.5,68.5
REPLICATED TRIAL,2018,Macomb,15,13,31110,3,N1,WMINUS,17.461,ORG1,MacombN1WMINUSORG1,18,6/7/2018,11/20/2018,NA,NA,NA,NA,1.913333333,1.699166667,82.13083333,-0.3375,105.4166667,226,124,23.328,21.212,7.484268,17.8,51.9,154.6328283,10.1,5,68.3
REPLICATED TRIAL,2018,Macomb,16,13,32110,3,N1,WPLUS,17.461,ORG1,MacombN1WPLUSORG1,24,6/7/2018,11/20/2018,NA,NA,NA,NA,1.903333333,1.751666667,76.855,-2.613333333,96.75,212,87,20.088,17.136,6.69501792,16.7,50.4,144.3491124,9.1,5.3,68.8
REPLICATED TRIAL,2018,Macomb,17,29,31310,3,N3,WMINUS,17.461,ORG1,MacombN3WMINUSORG1,27,6/7/2018,11/21/2018,NA,NA,NA,NA,1.923333333,1.718333333,71.77583333,-1.358333333,89,228,125,19.22,17.476,6.85831104,16.3,51.9,144.2856654,9.1,5.1,69.1
REPLICATED TRIAL,2018,Macomb,18,29,32310,3,N3,WPLUS,17.461,ORG1,MacombN3WPLUSORG1,20,6/7/2018,11/21/2018,NA,NA,NA,NA,1.92,1.716666667,77.50833333,-0.0125,103.9166667,205,94,23.134,20.556,6.31853656,16.9,53.8,127.3160511,9.7,5,68.8
REPLICATED TRIAL,2018,Macomb,19,41,42210,4,N2,WPLUS,17.461,ORG1,MacombN2WPLUSORG1,30,6/7/2018,11/21/2018,NA,NA,NA,NA,1.933333333,1.755833333,90.10083333,-0.3725,99.58333333,222,113,19.492,16.75,5.37960112,16.3,53.9,108.9769571,NA,NA,NA
REPLICATED TRIAL,2018,Macomb,20,41,41210,4,N2,WMINUS,17.461,ORG1,MacombN2WMINUSORG1,35,6/7/2018,11/21/2018,NA,NA,NA,NA,1.923333333,1.729166667,63.24083333,-0.774166667,90.25,222,128,19.574,17.412,6.19606672,16.9,55.1,121.9027266,8.7,4.9,69.6
REPLICATED TRIAL,2018,Macomb,21,9,41310,4,N3,WMINUS,17.461,ORG1,MacombN3WMINUSORG1,28,6/7/2018,11/20/2018,NA,NA,NA,NA,1.91,1.748333333,73.79,-0.043333333,98.75,212,96,22.1,15.004,5.42949624,17.8,53.4,109.0279902,10.6,4.9,68.1
REPLICATED TRIAL,2018,Macomb,22,9,42310,4,N3,WPLUS,17.461,ORG1,MacombN3WPLUSORG1,27,6/7/2018,11/20/2018,NA,NA,NA,NA,1.9,1.721666667,71.31666667,0.210833333,109.8333333,208,96,23.028,20.958,5.93298336,18.3,54.9,115.1783231,NA,NA,NA
REPLICATED TRIAL,2018,Macomb,23,25,41110,4,N1,WMINUS,17.461,ORG1,MacombN1WMINUSORG1,33,6/7/2018,11/20/2018,NA,NA,NA,NA,1.94,1.745,85.22416667,-1.4975,110,220,104,21.946,19.6,5.96019888,18.6,52.6,120.3226314,9,5.4,68.8
REPLICATED TRIAL,2018,Macomb,24,25,42110,4,N1,WPLUS,17.461,ORG1,MacombN1WPLUSORG1,32,6/7/2018,11/20/2018,NA,NA,NA,NA,1.936666667,1.723333333,50.98916667,-2.508333333,86.5,199,102,20.308,18.036,5.81504944,18.6,52.8,116.9477318,8.7,5.1,69.5
REPLICATED TRIAL,2019,UIUC2019,1,13,1013,1,N2,WMINUS,17.461,ORG1,UIUC2019N2WMINUSORG1,53,10-Jun,10/19/2019,3-Aug,4-Aug,54,55,1.89,1.95,89.36,NA,110.25,223,120,23.54,21.54,5.79690576,20.3,53.4,107.6251012,NA,NA,NA
REPLICATED TRIAL,2019,UIUC2019,4,41,4041,1,N1,WMINUS,17.461,ORG1,UIUC2019N1WMINUSORG1,63,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.9,1.92,82.94,NA,110.5,256,129,22.48,20.2,7.10325072,23.9,53.9,125.9217678,7.8,3.4,73.1
REPLICATED TRIAL,2019,UIUC2019,5,13,5013,1,N3,WMINUS,17.461,ORG1,UIUC2019N3WMINUSORG1,65,10-Jun,10/19/2019,4-Aug,5-Aug,55,56,1.91,1.95,96.24,NA,115.5,255,143,24.38,22.78,8.845044,27,52.6,150.4117863,8.9,3.4,72.2
REPLICATED TRIAL,2019,UIUC2019,7,25,7025,2,N2,WMINUS,17.461,ORG1,UIUC2019N2WMINUSORG1,62,10-Jun,10/19/2019,5-Aug,7-Aug,56,58,1.93,1.95,95.79,NA,106.5,248,125,22.02,20.4,7.70199216,26.8,52.9,131.3327882,7.7,3.4,73.3
REPLICATED TRIAL,2019,UIUC2019,9,33,9033,2,N3,WMINUS,17.461,ORG1,UIUC2019N3WMINUSORG1,56,10-Jun,10/19/2019,5-Aug,5-Aug,56,56,1.93,1.94,87.18,NA,99.58,243,135,26.58,23.86,7.91064448,26.4,53.9,135.6277923,7.2,3.2,73.8
REPLICATED TRIAL,2019,UIUC2019,12,37,12037,2,N1,WMINUS,17.461,ORG1,UIUC2019N1WMINUSORG1,63,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.92,1.95,91.65,NA,91.34,253,131,23.46,21.04,7.8471416,25.4,53.7,136.3670131,8.4,3.3,72.5
REPLICATED TRIAL,2019,UIUC2019,13,41,13041,3,N3,WMINUS,17.461,ORG1,UIUC2019N3WMINUSORG1,64,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.87,1.93,86.92,NA,110.25,255,133,23.85,20.98,9.2532768,25,55.4,161.6649337,7.3,3.1,73.7
REPLICATED TRIAL,2019,UIUC2019,15,13,15013,3,N1,WMINUS,17.461,ORG1,UIUC2019N1WMINUSORG1,61,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.93,1.95,93.94,NA,103.17,260,136,24.75,22.19,5.8059776,23.9,53.1,102.9245612,9,3.4,72
REPLICATED TRIAL,2019,UIUC2019,18,13,18013,3,N2,WMINUS,17.461,ORG1,UIUC2019N2WMINUSORG1,63,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.96,1.98,101.66,NA,80.59,235,136,21.86,20.55,7.6883844,24.8,53.1,134.6827393,8.3,3.4,72.7
REPLICATED TRIAL,2019,UIUC2019,19,37,19037,4,N3,WMINUS,17.461,ORG1,UIUC2019N3WMINUSORG1,57,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.92,1.95,98.42,NA,110.67,238,119,23.1,20.57,8.16012008,24.1,56,144.2770776,9.6,3.2,72.2
REPLICATED TRIAL,2019,UIUC2019,22,21,22021,4,N1,WMINUS,17.461,ORG1,UIUC2019N1WMINUSORG1,59,10-Jun,10/19/2019,8-Aug,9-Aug,59,60,1.96,1.98,112.44,NA,77.75,213,96,18.2,16.48,3.24771872,24.8,51.7,56.89253175,8.8,3.5,72.3
REPLICATED TRIAL,2019,UIUC2019,24,25,24025,4,N2,WMINUS,17.461,ORG1,UIUC2019N2WMINUSORG1,46,10-Jun,10/19/2019,5-Aug,6-Aug,56,57,1.92,1.95,89.27,NA,93.67,219,115,17.7,16.16,5.0121916,24.6,52.3,88.03553778,9.3,3.7,71.3
REPLICATED TRIAL,2019,UIUC2019,2,13,2013,1,N2,WPLUS,17.461,ORG1,UIUC2019N2WPLUSORG1,64,10-Jun,10/19/2019,3-Aug,4-Aug,54,55,1.93,1.96,98.3,NA,101,265,145,23.58,21,6.58161992,22.3,51.6,119.1277197,10.6,3.8,70.2
REPLICATED TRIAL,2019,UIUC2019,3,41,3041,1,N1,WPLUS,17.461,ORG1,UIUC2019N1WPLUSORG1,58,10-Jun,10/19/2019,4-Aug,6-Aug,55,57,1.93,1.95,93.74,NA,103.84,255,126,23.92,21.62,5.89216008,23.5,53.3,105.0013744,7.5,3.2,73.4
