EXP,YEAR,LOC,RANGE,ROW,PLOT,REP,NITRO,WEED,PED,HYB,STC,PDT,HDT,MFL,FFL,DTA,DTS,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STA,FIB,ASH,DENS,MCA,PROTA,OLA,STRA,DTA,TWA,FRA,TEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,Bray1P,TOC,TN,Soil CN,Sand,Silt ,Clay,SMC,InorgN,POMN,POMC,POMCN,PMN,POXC,FDA,Plot2,NH4N-V8,NO3N-V8,POMN-V8,POMC-V8,POMCN-V8,PMN-V8,POXC-V8,BD-V8,NH4N-VT,NO3N-VT,POMN-VT,POMC-VT,POMCN-VT,PMN-VT,POXC-VT,BD-VT,NH4N-R2,NO3N-R2,POMN-R2,POMC-R2,POMCN-R2,PMN-R2,POXC-R2,BD-R2
OREI_Replicated_Exp,2018,Pana,2,5,11110,1,N2,WMINUS,17.461,ORG1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.923333333,1.765833333,78.385,0.170833333,97.5,252,142,22.84,21.262,10.8181692,15.4,57,209.4581127,10.8,4.9,67.7,NA,NA,NA,10.2,10.8,4.9,67.7,1.176,56.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,9,11103,1,N2,WMINUS,PHHB9*PHW30,UIUC3,30,5/25/2018,10/15/2018,NA,NA,NA,NA,1.843333333,1.716666667,82.82666667,3.96,169.3333333,292,130,26.786,24.084,10.76827408,15.9,62.2,189.9326471,9.3,3.4,71.3,NA,NA,NA,8.9,9.3,3.4,71.3,1.275,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,13,11106,1,N2,WMINUS,PHP38*Q381,UIUC6,25,5/25/2018,10/15/2018,NA,NA,NA,NA,1.86,1.794166667,78.8725,0.140833333,119,244,120,26.164,22.978,8.87225952,14.9,58.7,167.7929095,10,3.9,70.1,NA,NA,NA,10.4,10,3.9,70.1,1.271,60.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,17,11101,1,N2,WMINUS,PHHB9*PHM49,UIUC1,3,5/25/2018,10/15/2018,NA,NA,NA,NA,1.81,1.80625,86.225,5.3125,144.875,203,87,33.205,30.555,3.8101728,16.7,57.8,71.63243996,10.9,3.4,70.1,NA,NA,NA,10,10.9,3.4,70.1,1.283,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,21,11108,1,N2,WMINUS,PHW52*Q381,UIUC8,8,5/25/2018,10/15/2018,NA,NA,NA,NA,1.826666667,1.8,133.1416667,2.4725,81.75,202,75,30.775,28.23,2.49022008,16.1,54.9,49.64497041,10.2,3.8,70.2,NA,NA,NA,10.9,10.2,3.8,70.2,1.293,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,25,11107,1,N2,WMINUS,PHW52*LH185,UIUC7,14,5/25/2018,10/15/2018,NA,NA,NA,NA,1.876666667,1.731666667,86.94166667,1.688333333,108.25,240,110,26.626,24.32,9.43017768,15.3,58.4,178.417869,8.8,3.6,71.4,NA,NA,NA,11.5,8.8,3.6,71.4,1.262,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,29,11105,1,N2,WMINUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,NA,NA,NA,NA,1.883333333,1.7275,81.79666667,0.755833333,130.5833333,240,105,22.85,21.074,6.60429952,14.9,60.6,120.9850216,8.3,3.4,72.2,NA,NA,NA,8.9,8.3,3.4,72.2,1.261,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,37,12304,1,N1,WMINUS,PHHB9*PHZ51,UIUC4,22,5/25/2018,10/15/2018,NA,NA,NA,NA,1.846666667,1.660833333,95.74666667,2.765833333,101.3333333,245,95,23.028,21.568,8.80875664,14.8,59.9,163.4463751,7.9,3.7,71.9,NA,NA,NA,11.5,7.9,3.7,71.9,1.244,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,37,11109,1,N2,WMINUS,461.2B24,ORG2,16,5/25/2018,10/15/2018,NA,NA,NA,NA,1.833333333,1.756666667,63.17166667,2.220833333,112.5,246,130,23.21,21.212,6.11442016,15.7,56.4,119.2206975,11.1,4.5,68.2,NA,NA,NA,9.7,11.1,4.5,68.2,1.199,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,2,41,11102,1,N2,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,NA,NA,NA,NA,1.816666667,1.748333333,78.9,3.4425,130.5,212,87,26.116,24.052,4.31365992,15.4,57.8,82.36379272,9.5,3.6,70.9,NA,NA,NA,9.9,9.5,3.6,70.9,1.273,58.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,5,11308,1,N1,WPLUS,PHW52*Q381,UIUC8,9,5/25/2018,10/15/2018,NA,NA,NA,NA,1.88,1.740833333,71.5675,1.5625,124.8333333,198,85,23.388,21.702,3.56523312,15.6,59.6,65.86156229,9.9,3.8,70.2,NA,NA,NA,11.3,9.9,3.8,70.2,1.277,59.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,9,11307,1,N1,WPLUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,NA,NA,NA,NA,1.87,1.685,95.3,2.8,104.125,246,105,23.404,21.148,10.34643352,15.4,57.5,198.5825572,7.4,3.6,72.4,NA,NA,NA,11.3,7.4,3.6,72.4,1.242,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11307,3.28,16.2,0.134596211,1.929212363,14.5158,20.088,407.2284,1.153481486,1.84,18.97,0.163681592,2.371044776,14.6632,22.16,494.748,1.254593264,2.921568627,21.69843137,0.162874251,2.4,14.5535,23.8387451,562.806,1.210981419
OREI_Replicated_Exp,2018,Pana,3,13,11306,1,N1,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,NA,NA,NA,NA,1.92,1.786666667,101.5358333,0.130833333,84.33333333,255,115,24.67,22.082,9.23513312,15.1,60.8,168.2267985,9.7,3.9,70.5,NA,NA,NA,9.4,9.7,3.9,70.5,1.282,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,17,11303,1,N1,WPLUS,PHHB9*PHW30,UIUC3,22,5/25/2018,10/15/2018,NA,NA,NA,NA,1.86,1.7475,74.52833333,1.554166667,127.6666667,276,130,26.696,23.76,10.5006548,15.3,60.6,191.4586873,9.4,3.6,71,NA,NA,NA,10.5,9.4,3.6,71,1.283,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,21,11302,1,N1,WPLUS,PHHB9*PHR63,UIUC2,14,5/25/2018,10/15/2018,NA,NA,NA,NA,1.816666667,1.735833333,113.0608333,3.858333333,135.75,230,115,28.022,25.228,4.11861536,15.5,58,78.27586207,8.7,3.3,71.8,NA,NA,NA,11,8.7,3.3,71.8,1.277,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,25,11301,1,N1,WPLUS,PHHB9*PHM49,UIUC1,13,5/25/2018,10/15/2018,NA,NA,NA,NA,1.88,1.748333333,78.6675,0.558333333,153.25,255,145,29.22,27.322,5.5338224,18,62.1,95.32248997,8.8,3.4,71.6,NA,NA,NA,10.9,8.8,3.4,71.6,1.265,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,29,11310,1,N1,WPLUS,17.461,ORG1,28,5/25/2018,10/15/2018,NA,NA,NA,NA,1.933333333,1.754166667,77.47333333,0.008333333,84.08333333,257,130,22.136,19.974,8.20547928,14.7,56.2,162.4667818,9.8,4.3,69.2,NA,NA,NA,10.7,9.8,4.3,69.2,1.167,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11310,2.84,19.98,0.208167331,2.881474104,13.5384,13.72,350.9172,1.149616178,1.76,17.41,0.204187438,2.660817547,12.9659,16.08,459.144,1.214872825,2.709150327,14.94084967,0.17584493,2.243538767,12.9602,23.69667974,515.3292,1.13849742
OREI_Replicated_Exp,2018,Pana,3,33,11305,1,N1,WPLUS,PHHB9*Q381,UIUC5,14,5/25/2018,10/15/2018,NA,NA,NA,NA,1.866666667,1.738333333,67.67583333,1.705,104.3333333,225,90,24.882,22.546,6.39111128,15,57.9,122.3952744,8.8,3.4,71.7,NA,NA,NA,10.4,8.8,3.4,71.7,1.26,59.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,1,33,12104,1,N2,WPLUS,PHHB9*PHZ51,UIUC4,21,5/25/2018,10/15/2018,NA,NA,NA,NA,1.81,1.711666667,103.4016667,4.483333333,126.3333333,270,130,25.55,23.82,8.0058988,16.3,59.1,147.9094705,8,3.3,72.4,NA,NA,NA,9.6,8,3.3,72.4,1.247,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,3,41,11309,1,N1,WPLUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,NA,NA,NA,NA,1.863333333,1.715,79.6675,2.3925,100,215,100,21.72,19.646,6.22328224,14.9,54.7,126.3018292,10.3,4.4,68.9,NA,NA,NA,10.8,10.3,4.4,68.9,1.18,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana11309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,5,12308,1,N1,WMINUS,PHW52*Q381,UIUC8,12,5/25/2018,10/15/2018,NA,NA,NA,NA,1.846666667,1.776666667,64.58083333,0.618333333,169,198,80,22.43,20.774,3.8328524,15.5,59,71.61016949,9.8,3.8,70.5,NA,NA,NA,9.1,9.8,3.8,70.5,1.272,58.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,9,12307,1,N1,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,NA,NA,NA,NA,1.913333333,1.753333333,99.44666667,0.41,88.25,235,95,23.81,21.168,9.32585152,15.5,60.1,171.0482529,7,3.5,73.1,NA,NA,NA,9.7,7,3.5,73.1,1.243,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,13,12306,1,N1,WMINUS,PHP38*Q381,UIUC6,26,5/25/2018,10/15/2018,NA,NA,NA,NA,1.88,1.8025,78.34833333,-0.006666667,118.6666667,247,100,20.042,17.704,9.64790184,15.2,59.4,179.6760504,9.1,3.9,71.2,NA,NA,NA,9.5,9.1,3.9,71.2,1.296,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,17,12303,1,N1,WMINUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,NA,NA,NA,NA,1.903333333,1.745833333,77.705,-0.133333333,108,272,107,24.626,21.58,10.22396368,15.4,59.9,188.3695706,8.5,3.6,71.8,NA,NA,NA,10.3,8.5,3.6,71.8,1.282,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,21,12302,1,N1,WMINUS,PHHB9*PHR63,UIUC2,30,5/25/2018,10/15/2018,NA,NA,NA,NA,1.903333333,1.7525,72.80833333,0.334166667,127.5833333,240,100,24.264,21.558,NA,NA,NA,NA,8.3,3.6,71.9,NA,NA,NA,10.9,8.3,3.6,71.9,1.276,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,25,12301,1,N1,WMINUS,PHHB9*PHM49,UIUC1,29,5/25/2018,10/15/2018,NA,NA,NA,NA,1.88,1.7275,102.69125,1.55,111.125,240,105,21.922,20.27,9.69326104,17.6,61.6,169.1470068,7.8,3.4,72.6,NA,NA,NA,11.4,7.8,3.4,72.6,1.259,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,29,12310,1,N1,WMINUS,17.461,ORG1,23,5/25/2018,10/15/2018,NA,NA,NA,NA,1.93,1.7525,56.58583333,-1.94,81.58333333,255,135,21.078,18.864,6.88552656,15.1,55.8,136.6653942,8.4,5,69.5,NA,NA,NA,11.2,8.4,5,69.5,1.15,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREI_Replicated_Exp,2018,Pana,4,33,12305,1,N1,WMINUS,PHHB9*Q381,UIUC5,23,5/25/2018,10/15/2018,NA,NA,NA,NA,1.9,1.751666667,87.82583333,0.608333333,104.25,230,100,21.632,19.358,7.24386424,16.3,60.4,130.9503703,7.7,3.6,72.5,NA,NA,NA,11.7,7.7,3.6,72.5,1.271,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pana12305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
